CustomerId,Date,Transaction Details,Type,Amount,Balance,Category
C8,2024-09-03,NEFT/983746283,Credit,55000,60000,
C8,2024-10-03,NEFT/673829201,Credit,55200,115200,
C8,2024-11-04,NEFT/192837465,Credit,55000,170200,
C8,2024-09-05,UPI/FOOD,Debit,500,59500,
C8,2024-10-06,UPI/SHOPPING,Debit,2000,113200,

C9,2024-09-01,IMPS/12345,Credit,10000,20000,
C9,2024-09-10,IMPS/67890,Credit,15000,35000,
C9,2024-09-25,IMPS/11111,Credit,8000,43000,

C10,2024-09-07,NEFT/998877,Credit,30000,40000,
C10,2024-09-14,NEFT/998877,Credit,30000,70000,
C10,2024-09-21,NEFT/998877,Credit,30000,100000,
