CustomerId,Date,Transaction Details,Type,Amount,Balance,Category
C1,01-09-2024,UPI/General Txn,CREDIT,222.55,25244.29,General
C1,01-09-2024,UPI/General Txn,DEBIT,783.74,67993.25,General
C1,01-09-2024,UPI/General Txn,DEBIT,4471.68,59458.76,General
C1,01-09-2024,UPI/General Txn,DEBIT,255.74,22645.16,General
C1,01-09-2024,UPI/General Txn,DEBIT,2576.24,56563.26,General
C1,01-09-2024,UPI/General Txn,CREDIT,3608.5,22823.62,General
C1,01-09-2024,UPI/General Txn,DEBIT,2987.4,76121.93,General
C1,01-09-2024,UPI/General Txn,CREDIT,882.33,34684.8,General
C1,02-09-2024,UPI/General Txn,CREDIT,1155.04,11118.82,General
C1,02-09-2024,UPI/General Txn,CREDIT,1961.64,84901.94,General
C1,02-09-2024,UPI/General Txn,DEBIT,3058.26,73243.45,General
C1,02-09-2024,UPI/General Txn,CREDIT,2727.52,8801.22,General
C1,02-09-2024,UPI/General Txn,CREDIT,1536.57,58157.86,General
C1,02-09-2024,UPI/General Txn,DEBIT,3552.4,66465.07,General
C1,02-09-2024,UPI/General Txn,DEBIT,3888.03,85676.45,General
C1,02-09-2024,UPI/General Txn,CREDIT,4345.77,28519.39,General
C1,02-09-2024,UPI/General Txn,CREDIT,3214.85,17102.76,General
C1,03-09-2024,UPI/General Txn,CREDIT,1126.58,70480.21,General
C1,03-09-2024,UPI/General Txn,DEBIT,3449.38,61303.97,General
C1,03-09-2024,UPI/General Txn,DEBIT,938.58,17176.85,General
C1,03-09-2024,UPI/General Txn,DEBIT,1959.33,68776.81,General
C1,03-09-2024,UPI/General Txn,DEBIT,4229.97,23675.76,General
C1,03-09-2024,UPI/General Txn,CREDIT,257.29,40715.31,General
C1,03-09-2024,UPI/General Txn,CREDIT,424.32,22050.03,General
C1,03-09-2024,UPI/General Txn,CREDIT,2546.23,15144.29,General
C1,03-09-2024,UPI/General Txn,CREDIT,784.19,74954.37,General
C1,03-09-2024,UPI/General Txn,CREDIT,2199.33,36837.65,General
C1,04-09-2024,UPI/General Txn,DEBIT,2596.68,75822.43,General
C1,04-09-2024,UPI/General Txn,DEBIT,4319.4,63117.16,General
C1,04-09-2024,UPI/General Txn,CREDIT,3981.19,60044.49,General
C1,04-09-2024,UPI/General Txn,CREDIT,1985.36,53382.32,General
C1,04-09-2024,UPI/General Txn,DEBIT,4858.28,68348.06,General
C1,04-09-2024,UPI/General Txn,CREDIT,661.3,77091.27,General
C1,04-09-2024,UPI/General Txn,CREDIT,1766.86,44041.76,General
C1,04-09-2024,UPI/General Txn,CREDIT,2323.25,97216.92,General
C1,04-09-2024,UPI/General Txn,DEBIT,3833.61,87181.34,General
C1,05-09-2024,UPI/General Txn,DEBIT,4224.18,16131.09,General
C1,05-09-2024,UPI/General Txn,DEBIT,3836.3,60295.51,General
C1,05-09-2024,UPI/General Txn,DEBIT,2494.17,92980.76,General
C1,05-09-2024,UPI/General Txn,CREDIT,4405.74,24705.78,General
C1,05-09-2024,UPI/General Txn,DEBIT,1280.27,9479.69,General
C1,05-09-2024,UPI/General Txn,DEBIT,2481.35,97820.46,General
C1,05-09-2024,UPI/General Txn,DEBIT,2710.26,13710.75,General
